description_no,listing_id,description
11,175576,
12,4454295,
13,3883392,"Spacious apt in popular Seattle neighborhood.  1 block to bus and easy access by car to groceries, gas, freeway, stadiums, cruise ships.  Well stocked, quiet and restful space for your vacation, sorry, no accommodations for parties. This apartment is in a quiet and friendly city neighborhood, and central to so many places by car or transit.   Easily sleeps 1 - 4 persons comfortably and has a spacious feeling throughout the entire apartment.  Enter your apartment through an entry hallway for additional feeling of security.   We're in a great location being 10 minutes away from Ballard, Magnolia and downtown Seattle.  The kitchen has a gas stove, convection oven and enough tools to handle any kind of cooking.   We've also stocked the kitchen with some basic staples like oil, balsamic vinegar & spices which will simplify your grocery shopping for your stay here in Seattle.   Guests will have one designated spot for parking in front of the house if you have a car.  Access to washer/dryer o"
14,8889257,"Enjoy our amazing, updated & modern design cottage, located blocks from many of Seattle's best sites! The house is surrounded by million $ homes w/ easy access to downtown. Located on Queen Anne Hill, one of Seattle's most sought-after neighborhoods. Originally built in 1906, our house has a light-filled living room & dining area with vaulted ceilings & Sound/Mountain view.  We hope you'll enjoy the chef kitchen with gas range, stainless steel appliances, Richlight counters, maple cabinets & tile backsplash.  The bathroom has a 6 Ft. soaking tub, double sinks & floor to ceiling tile.  There are hardwood floors throughout the living space. The home has two bedrooms, with queen sized beds in each, as well as one roll away bed. Our house is situated in a quaint, historic corner of Queen Anne, and is accessed by a flight of 16 easy steps from the street.  Make yourself at home on the front deck and main floor of the home. Andrew and Camille will be the primary contact and are only minutes "
15,5680462,"Stunning Designsponge featured 6 bed, 3.75 bath, 4,000 sq ft home in the city's BEST location w/ free parking for about the same price as a decent hotel in Seattle. Walk to all of Queen Anne, or drive 5 min to downtown- this is where you want to be! Gorgeous, LIGHT FILLED, Newly Constructed Modern Farmhouse in THE BEST Location! 4 level home features 4,000 sq ft of living space with 6 bedrooms / 3.75 baths and up to 15 separate beds  The first level of the main home features an open living area with formal living room, dining room, family room, spacious kitchen, half bath, coat closet, and large open hall with bench seating and cubbies for storage. The family room has a comfy pull out sofa bed (full size bed) The kitchen has an oversized farmhouse style sink, 6 burner Bertazonni range, integrated 36"" Liebherr fridge / freezer, dishwasher, coffeemaker, microwave, and convection oven. The second level boasts 3 large bedrooms, the master has a queen bed and we can add in a pack and play f"
16,8988178,
17,3245876,"Master bedroom suite with 1/4 bath & kitchenette hidden within lovely Kinnear Park. Mere blocks from Key Arena & Space Needle. Short ride to Pike Place, stadiums, & convention center. Enjoy the quiet, or a quick walk to tons of bars, restaurants, & shops! **PLEASE MAKE SURE TO READ ALL INFO BEFORE BOOKING!** If you need info on anything not mentioned in the listing, just ask! Pricing varies daily based on demand, but the calendar is always up to date. Simply enter your travel dates into the calendar to check pricing and availability. The guest room is fairly large, very private, and has lots of personality! It's approx 250 sq ft, completely separate from the rest of the apartment, and includes a full size bed, kitchenette, vanity area with sink, and two closets that are exclusively for your use - my guests enjoy complete privacy! You'll have pretty much everything you need: hangers, shelves, organizers, extra sheets/towels, first aid kit, umbrella, hairdryer, and iron/ironing board. Th"
18,4933447,"Beautiful private entrance garden suite overlooking Elliot Bay. Off street covered parking available, convenient to public transportation.  Close to Seattle Center, SPU, Whole Foods, Pikes Mkt. Complimentary meal at local cafe/bar - The Sitting Room. French Country style home built in 1939 with spectacular view of Elliot Bay, latest remodel in 2015.  The private room and bath is located on the garden level with separate entrance on the west side.   Room includes full size bed, seating area, mini-fridge and wireless internet.  Large bathroom with shower, pedestal sink, and heated floor.  Bedding and towels provided. On-site, off-street, covered parking available.   Reservation includes a complimentary meal at The Sitting Room, a local neighborhood bistro owned by hosts. No smoking (indoors). Private entrance to space has keypad on door.  Access is to private room/space only.  Guests may park in covered car port and have access to front yard.  We will be available to welcome you, answer "
19,7735464,"The second room in our spacious 2BR / 2 Bath apartment functions as both our office and a second bedroom for family, guests, and visitors!   All the comforts of home, minutes from downtown Seattle, yet you feel like you're in the suburbs!"
20,6291829,"This  home built in 1909.  It has 5 bedrooms and 3.5 baths.  Perfect for family groups.  All modern conveniences.  It is only one block from the main street filled with restaurants, coffee shops and 4 BLOCKS TO KERRY PARK'S FAMOUS FIREWORKS DISPLAY. This home encompasses the character that is so sought after on Queen Anne.  It is a large Craftsman with a beautiful and private garden.  The front porch, gourmet kitchen, master suite, basement tv/game room and even the back yard provide plenty of spaces to relax and enjoy for a large group, especially with kids.    It has 4 bedrooms upstairs, one king and one queen bed, two full beds and 2 full baths.  The basement also has a queen bedroom and newly done bath/shower.  The location is unique because it is one block to all that Queen Anne has to offer and across the street from a park with baseball/soccer fields and a large playground.  It is one block to the community center and indoor pool. Full access with wifi and cable.  Parking in bac"
21,9218403,"This clean and comfortable one bedroom sits right across from Kinnear Park in Seattle's lower Queen Anne neighborhood. Walk to Seattle Center, the SAM Sculpture Park, or just sit on the deck and enjoy the view of Puget Sound and downtown Seattle. Kitchen has hot water tap and sodastream Excellent water pressure Original art throughout the house Dogs under 30 lbs welcome Roof deck Lower Queen Anne is near the Seattle Center (space needle, EMP museum, Glass museum, Science Center and Children's museum). It's also near SAM sculpture park, stores, restaurants, SIFF theater and more."
22,4125779,"Relax in your own private finished basement space in a 1925 Craftsman in Upper Queen Anne, one of Seattle's most historic and lively neighborhoods.  Just 2 blocks from many trendy restaurants, yoga, shopping, etc.  Just a 15 minute bus ride to  Downtown, Fremont and Amazon / S. Lake Union by bus. Updated daylight basement space with queen and single sleeping nooks. Your privacy is paramount here with your own entrance and key. The space offers plenty of room to unwind and relax and read or enjoy Direct TV and Bose receiver. Shower/bathroom is located upstairs from this space. Bath, shower is located on the top floor of our home. There is a bathroom one level above the guest space, right off the kitchen area. Quiet space in outside patio area.  Private entrance with key provided. Access to main fridge and fresh ground coffee / tea / French press in the morning. We're always delighted to meet our guests, but re also respect your privacy! Just a few minutes walk to many great restaurants,"
23,8942678,"Welcome to Seattle! Enjoy your stay in a  turn-of-the-century Queen Anne home. Lovely setting in the heart of the city. Cosy up with a cup of coffee in the window seat or enjoy all of the fabulous Seattle restaurants, cafes and shops 1 block away. Centrally located spacious home in the heart of the city- 1 block away from world class restaurants, cafes and shops.  The house is across the street from a soccer field and park making it a perfect location for kids. Start your morning with an El Diablo cafe and then explore Seattle. It's an easy bus ride (or walk- 1/2 mile) to Seattle Center, Pike Place Market and all that downtown Seattle has to offer. Close to Green Lake, the University District and Capital Hill. -Easy access to restaurants, cafes, shopping and grocery stores. -across the street from a soccer field and park -3 blocks to bus stop -1/2 mile to downtown Seattle, Seattle Center, Opera House, Benaroya Hall -Close to Green Lake, the University District, Capitol Hill Easy email,"
24,10106055,"Greetings!  Our home is a beautiful, 1920's 4 bedroom craftsman in the iconic Seattle neighborhood of Queen Anne, featuring spectacular views of Elliot Bay and the Olympics. Amenities include washer/dryer, full living room, private entry & bathroom! The space we are renting is the entire lower level of our home, featuring a private bedroom, bathroom, living room and personal entry off the back patio. The cozy room features a comfortable full bed, spacious closet and exposed brickwork. The bathroom has a shower and sink, and the living room is a great place to hang out and relax. The lower level/basement is entirely yours. We provide a guest key, which will let you into your private entry off the back patio. Alex and I work opposite schedules, him during the day and some evenings, myself evenings only. So chances are someone will always be available to help settle you in! We love talking to people and making new friends, but we do ask that you respect early bedtimes and our privacy on t"
25,6362362,"Enjoy Seattle from the ideally located Queen Anne Hill.  Enjoy the quaintness and charm of Queen Anne while having easy access to all around the area. L Step into the main living space with sitting areas, kitchen and lovely outdoor space.  The Master bedroom and bath are on the top level with the lower level housing two small bedrooms and a shared bathroom and shower.  One room has a double bed and the other has a twin trundle.  The location is close to Queen Anne Avenue with easy access to Downtown Seattle, I-5 and 99.  Minutes from Seattle Center, Space Needle, Pike Place Market, Seattle Waterfront, Elliott Bay, Ballard, Lake Union, Green Lake, Century Link Field, etc. I will be available to answer questions by phone or text while you enjoy your stay in Seattle. 10th Avenue West is on the bus line taking you downtown Seattle. There is plenty of street parking and one designated parking space in front of the house."
26,3544550,"Our home is very light and full of character and charm.  Great gourmet kitchen and large living room with sunset views of the water.  3 bedrooms, 2.25 bath, large private garden with fountain and plenty of parking.  Located 5 minutes from downtown. Our home is a brick tudor/cottage built in 1937.  Original beveled glass windows, beautiful hardwoods and sunset water views.  Located in the desirable Queen Anne neighborhood just a few blocks from coffee shops, restaurants, grocery. This is a enchanted, open, light house with a wonderful garden, fountain, play space, large living spaces and views of the sound.  Great for 2 families with kids.  The living room is very large with views of the water, fireplace and a great space to socialize.  Large dining room with table for 6 or when extended 10 people.  There is also a library on the main floor with large couch and views of the water.  The 3 bedrooms can accommodate 8 people with 1 queen, 1 full bed and 2 twin beds.  The master also has a d"
27,9025039,
28,3200646,"Micro camper with queen size bed and seating for two ! (well 70 x 60 ) This camper is small if your over six feet tall this is not the camper for you . Claustrophobic keep looking ! but if you are into seeing how small you can go this is PERFECT  The Spruce Kaboose is a hand built one of a kind tiny bedroom on wheels. If you are tall (6 foot or over) this is not the rental for you. However, for the smaller in stature this place is golden. The bed measures 70''L x 60''w. Plenty of storage underneath for your suitcases, light, power, heater, fan.  high speed WI-FI. You will have your private trailer in our backyard and access to the yard and SHARED bathroom GATE IS ON THE EAST SIDE OF THE HOUSE TO GAIN ACCESS TO OUR BACK YARD. We will leave you alone unless you want to talk or need anything.  Interbay is right between downtown Seattle and Ballard. We are just two blocks from a Whole Foods and on the D bus line.  We are on the D bus line.  If you are busing from the airport DO NOT take th"
29,8859380,"This three bedroom flat is your gorgeous retreat in Seattle. It is located on Queen Anne, a neighborhood that is known as the â€œbest neighborhood to live in."" You will lack nothing in this fully equipped  home, ideal for long stays. You won't want to leave your home away from home as this property boasts 180 degree views, and has all the amenities you need for an exceptional stay.  Queen Anne is the best of both worlds, set just 5 minutes from downtown, yet in a beautiful walking neighborhood with everything you need from groceries and restaurants to boutiques and services. This 1,800 sq ft apartment is only 1 of 3 units in a mid-century modern building. Appointed with beautiful furnishings along with a terrace where you can enjoy the view of ferry boats crossing all day and amazing sunsets. Open living, dining and office space, which also boasts a beautiful wood burning fireplace. Fully stocked kitchen that any Chef would be happy in, with All-Clad cookware and everything you need for "
30,4520099,"Designer home situated on Queen Anne Hill overlooking Magnolia.  Enjoy custom furnishings, gourmet kitchen, spa bathroom, and a cozy bedroom.  Easy access to downtown Seattle, Ballard and Fremont.  Whole Foods is just a walk away.  *all building construction is finished. During the summer, there was construction on the building but they are finished now.  The building has been completely updated on the outside and my unit is completely remodeled too. Guest have access to the all the kitchen items and laundry area.  All the drawers and closet in the bedroom are off limits. This is a really quiet neighborhood with plenty of free street parking.  Great walking neighborhood with parks close by and great stair climbs. There is a very convenient bus line a block away that will take you anywhere in the city.  In the neighborhood, there is plenty of free street parking. My neighbors are really quiet and the condo doesn't share any walls with other units.  The bedroom has blackout curtains, so "
31,2481869,
32,1110749,"Charming, clean, picturesque home in perfect location for exploring Seattle (1.5 miles to downtown).   This three bedroom dutch colonial is located in the center of historic Queen Anne, near everything.  Seattle Center, pike market, and lake union Charming, clean, picturesque home in perfect location for exploring Seattle (1.5 miles to downtown).   This three bedroom dutch colonial is located in the center of historic Queen Anne, near everything.  The house comes with full amenities (cable, dishwasher, internet, laundry, etc.), and accommodates 6 comfortably.   The house is kid-friendly and owners can provide baby ""amenities"" for guests if needed. Groceries can also be provided as a service (contact owner for details). The house is tucked back from a lovely and quiet street, with a welcoming garden in front, and a private fenced-in backyard with alley access.   Upper Queen Anne as a neighborhood is quiet despite being in the heart of Seattle, and there is plenty of free parking.   With"
33,5978498,"2 stories private home, open concept living room, floor 2 ceiling windows view Puget Sound & Olympic Mountains. Gourmet kitchen, formal dining room, 2 BR, 3 full bath inc bear claw tub, walk to cafes, restaurants. Private sanctuary steps down hill. My home is 3 stories professionally decorated and as you walk in you feel the warmth of the original fir floors. Main floor is open concept living room with large flat screen tv, floor to ceiling windows, gourmet kitchen, Tuscan feeling informal dining room, formal dining room with cherry furniture, as well as a family room/reading room with best views in the house, along with a full bath including bear claw tub. The flow of this first floor is open, airy, sunny, private. Both the kitchen and front door of the home open to two large outdoor living spaces for that indoor/outdoor feel. Outside you are surrounded by the abundant trees, flowers and green that is typical of the Pacific Northwest. Pick anything you want from the garden.  1ST FLOOR"
34,5021081,"Beautiful Water View, Minutes to Pier, Space Needle, Downtown, Family Friendly. This 1,920 sq ft 4 bedrooms, 3.5 baths with formal living & dining room plus a bonus room will offer you breathtaking water views of Puget Sound and a private backyard. ONLY vacation rental available in a desirable neighborhood of lower Queen Anne. Rates are subject to change at any time. Please add $50 if your staying involves a holiday (Thanksgiving, Christmas, New Years, Fourth of July, Memorial Day & Labor Day). Full Payment is required 1 month prior to arriving. If payment is not received on time, date become available for others to book. Furniture may vary. Clothes Dryer Fireplace Hair Dryer Heating Internet Iron & Board Linens Provided Living Room Parking Telephone Towels Provided Washing Machine Very conveniently located close to downtown (minutes) and accessible to freeways, whole food super market, gas stations, golf club, winery, pubs, pike place market, pier Public transport is available next st"
35,1686930,"Welcome to the Queen Anne Hideaway.  Your home away from home is a lower level unit below a vintage Queen Anne landmark home.  Take advantage of an incredible savings over a hotel in a pet and family friendly environment.  Pet friendly flooring, dog bed, kennel, and a fenced yard make this the perfect spot to vacation with your pups.   Beautifully furnished, luxury beds with feather toppers, patio with fenced yard, and all the details you need to make your stay perfect.  Our apartment has two bedroom (walls not shared) both with queen beds.  The living area features a flat screen TV, couch, and two of the ugliest recliners you have ever seen.   The kitchen is stocked for all your cooking needs, however, be prepared to do dishes the old fashioned way!  You will find all the condiments and extras on hand necessary, including coffee and creamer (priority uno).    Our one bathroom is updated with a  shower stall and new vanity.  What it lacks in space it makes up for in being well stocked."
36,7680289,"Vintage 1927 4plex in perfect Queen Anne location. Elliott Bay views! Hardwoods, built-ins, natural light. Queen bed w/ new mattress. Charm & updated amenities: A/C, free Wi-Fi, Roku, Cable TV, HBO, Private WD, Additional hide-a-bed. Very clean! Well cared-for building with many charming details. Attention to detail with furnishings. Clean Apartment with private outdoor space and shared backyard to relax in the sun, BBQ or enjoy a game of corn hole. Fully stocked kitchen with Keurig, complimentary coffee and bottled waters. Large bedroom with walk-in closet, private washer / dryer, queen sized bed, 2nd queen sized hide-a-bed sofa. Sweeping sunset views of Elliot Bay from spacious living room and dining space. Dart board, Chess board, Poker set, ROKU, Cable TV, Free HBO and free wireless high speed internet! Complete apartment with private bedroom, bathroom, kitchen, dining area, large living room, private patio and shared backyard space. Private Washer and Dryer, walk-in closet.  4 dig"
37,7207641,
38,5062445,"Our century old Upper Queen Anne house is located near beautiful postcard-esc views of the city, and close/easy bus lines. Shared kitchen and bathroom. Three easy-going roommates. And a home recording studio, if you'd like to take a crack at a song! The guest room is divided into 2 sections, a small office type area with a couple chairs (and complimentary guitar, if the mood should strike you), and a large walk-in closet where the bed is located. If you enjoy sleeping in cave-like environments, you will not be disappointed here. The house is over a hundred years old, so it does accumulate dusty fairly easily and is in need of some paint touch-ups, but it's got a ton of character that makes up for it. :) You're welcome to access all areas of the house besides our private rooms (obviously) and basement music studio when we aren't home. You're welcome to check it out when I'm around, but there's a fair amount of expensive equipment lying around down there, and I want to keep it accident-f"
39,8925878,"Sweeping Elliott Bay views, Vintage 1927 Queen Anne 4plex. Remodeled w/ new tile & refinished hardwoods. Charm & modern amenities. Beautiful bath, spacious bedroom, tons of light. W/D, 50"" smart TV, free WIFI, HBO. Quiet building in great location! Spacious and updated 1 bed, 1 bath apartment in a beautiful Queen Anne 4plex. Big views of Puget Sound's Elliott Bay!  Fully stocked kitchen, large bedroom, private W/D. Living room has big windows and tons of natural light. Dining area sits 4. Queen bed with brand new mattress in bed, and Queen sized hide-a-bed sofa in living room. 50"" Samsung Smart TV with cable, free HBO, free WIFI. 4 digit keypad entry.  No key exchange needed!  Owner is a local real estate agent and available at all times via text. Owner is a local real estate agent and available at all times via text.  We take our airbnb reviews very seriously and do all we can to keep our guests happy! The West slope of Queen Anne is conveniently located in just North of Downtown Seat"
40,6389657,"I love my little studio! My space might be small, but it's mighty. I have strategically set up my apartment to create a sleeping space, a eating area, and a living room, I even have a patio! Even though I live in a big room, it doesn't feel like it! Guests will have access to the basement that holds the washer and dryer. I will be available at any time if a guest should need assistance. The apartment is in a great location, everything I need is within a 3 block radius. A gym and bank across the street, Trader Joes (popular grocery store) is down the steet, as well as several coffee shops and restaurants.  On of the best views of Seattle is at Kerry Park, head South on Queen Anne Ave and turn right on Highland Drive, you can't miss it! The area is very walkable, though there is a bus line (bus #13) that stops only a few feet away that goes downtown. My apartment is above a bar and on a somewhat busy street, the noise level can be bothersome to some, but usually tends to quiet down aroun"
41,4218733,"Recently remodeled modern daylight basement apartment in Queen Anne. Close to everything and walking distance to tons of shops and restaurants.     Newly remodeled daylight basement on top of Queen Anne Hill just minutes away from Downtown Seattle, yet still keeps the low key quality of a single family neighborhood.  This is a private apartment with it's own private entry. Guest will have access to a shared Laundry Room.  This neighborhood, and this unit in particular, is extremely walk-able. Everything anyone could need is within a 5 minute walk. I've provided a convenient walking map with legend to help locate everything you may need, with some personal commentary added.  Buses are right around the corner. An Uber X ride downtown is $5-$7. This is also within the Car-to-go service area, with many vehicles parked within the neighborhood.  There is also a dedicated parking space steps from the front door, as well as plenty of on-street parking.  Walking distance to Seattle Pacific Univ"
42,2715623,"Why stay in a hotel costing more, when you can stay, enjoy, luxuriate in a 1909 vintage West Queen Anne cottage restored to its original beauty complete with every amenity you could possibly need. Easy access: downtown,universities,medical,culture . ""Le Bijou"" of Queen Anne (The Jewel of Queen Anne) is a 1909 craftsman's cottage located on the western bluff  facing Puget Sound in coveted Queen Anne .  A true craftsman who developed his skills renovating vintage homes on the east coast recreated the fine details of craftsmanship present  at the turn of the century.  Crown molding, wainscoting, lathe and plaster ceilings and walls were lovingly and meticulously repaired and restored by this artisan/craftsman using techniques and skills not used by craftsmen in today's times. The cottage is completely equipped with all modern conveniences.   ~Enter the cottage along a lite walkway to a garden courtyard  enhanced with plantings that fill the air with sweet flowering fragrances drawing humm"
43,1392332,"Our eco friendly modern home has two stunning decks and floor to ceiling windows=tons of light.  It feels like a private urban oasis.  Located on a quiet W. Queen Anne street just a block away from public transportation and popular cafes- perfection! Our space is modern, stylish, comfortable and completely eco conscious in every way. There are two decks with full Western views of Elliott Bay and the Olympic Mountains.  Spectacular sunsets.  The grill is hooked to natural gas so you'll never have to mess with propane.    Soak yourself in the new hot tub while watching the ferries and boats come and go.  The upstairs living area has a Nanawall which slides open to bring the outdoors right into your living room.  In winter you can cozy up to the beautiful gas fireplace.   For the audiophile in you, we also have a state of the art sound/media system with surround in the living room, speakers in every room plus three zones for your listening pleasure, including access to on demand movie str"
44,7308567,
45,6575380,"This large, remodeled daylight basement space includes a private entrance, private bedroom with Queen bed and closet, a full bathroom and laundry room, mini fridge, massive tv and comfy couch. At the top of Queen Anne, Downtown is a 5 min drive away. With a comfortable space for lounging and having guests and a secluded work area complete with a desk, this basement can host those liking to relax with a beer and watch the big game or those looking to do business or explore Seattle.  The daylight basements gets lots of natural light. Full access to all basement amenities, including washer/dryer, full bath, bedroom, living room, and desk. I'd be happy to meet every guest and share info on the city and neighborhood I love, but we're a super busy family, so will mostly keep to ourselves in the main upstairs living space. Queen Anne is Seattle's prime neighborhood, sitting atop a hill above the Space Needle. It's the closest neighborhood to downtown, but far enough removed to escape the nois"
46,6004058,"I love my 3rd floor vintage studio apartment w/ courtyard patio!  It is on lower Queen Anne & a 10 min walk to Seattle Center. Includes elevator, secured entry, hardwood floors, vaulted ceilings, big windows, full bath & kitchen. Small & efficient! -kitchen (stocked with basics & condiments) -bathroom (with vintage claw foot tub, excellent tub for a long bath.) -40"" Flat screen TV, Blu-ray, Apple TV, Hulu Plus, Wifi, ihome alarm clock. -Courtyard patio! (The patio looks down on the interior courtyard & is shared with another apartment. It is accessible through a large window. ) -1 double bed. While the bed is a futon it has a thick memory foam topper which makes it incredibly comfortable. New bedding + 4 pillows. -Quiet! The residents are pretty quiet... Wake up to the sound of the fountain in the courtyard.  -Small... Only accommodates two people. No set dining area. -Kinnear Park is across the street, walk to iconic Kerry Park or visit Marshall Park.. I love all 3. -Organic (I use or"
47,9550869,"Beautiful craftsman in the center of Queen Anne. 4 bedrooms, 3 full bathrooms. Spacious living and dining space, full kitchen and parking space. Across the street from bus stop, walking distance to shops and restaurants. This historic Queen Anne home was redone with all new amenities in 2012. It sits on the corner across the street from a coffee shop and 5-star yelp rated restaurant. It's walking distance to Trader Joe's and Whole Foods, as well as numerous other destinations on Queen Anne Ave.  The house is comprised of three fully-finished levels: 1. Top floor: There are three bedrooms on the top floor with queen or full side beds with built in closets and/or drawers in each bedroom.  2. Ground Floor: Full kitchen, living room, dining room, and full bathroom.  3. Basement: Full bed, couch (that also serves as a pull out bed), full bathroom, full-size washer and dryer. Guests will have full access to the entire house except for two owner storage spaces that are clearly marked (and not"
48,8515408,"Beautiful craftsman style studio, located in one of the neatest neighborhoods in Seattle.  Just a few blocks from amazing restaurants and shops. The ""Urban Nest"" studio is located above a detached garage.  Private entrance with parking space. The ""Urban Nest"" studio was built with comfort in mind.  The studio was completed along with the main house in 2015,  is an example of true craftsmanship and architectural beauty. Guests have private entrance and dedicated parking space Queen Anne Hill is centrally located.  A very friendly walkable place.  The Urban Nest Studio is three blocks to Queen Anne Ave. Where you can find Trader Joe's, too many coffee shops to list, a wonderful bookstore, gift shops and amazing restaurants. The metro bus stop is three blocks away and the Seattle Center and Pike Place Market are 5-10 minutes away by bus."
